Payload,Label,Type
/contact,0,Benign
/api/products,0,Benign
GET /search?q=%2e%2e%2f%2e%2e%2fetc%2fpasswd HTTP/1.1,1,Malicious
POST /login HTTP/1.1 username=admin&password=%3Cscript%3Ealert(1)%3C/script%3E,1,Malicious
/search?q=sports,0,Benign
POST /login HTTP/1.1 username=admin&password=<iframe src=javascript:alert(1)>,1,Malicious
GET /item?id=1' UNION SELECT NULL-- HTTP/1.1,1,Malicious
/about,0,Benign
GET /file?path=../../../var/log/apache/access.log HTTP/1.1,1,Malicious
/search?q=weather,0,Benign
/blog,0,Benign
GET /search?q=<img src=x onerror=alert(1)> HTTP/1.1,1,Malicious
GET /item?id=@{7*7} HTTP/1.1,1,Malicious
/static/css/main.css,0,Benign
GET /file?path=<body onload=alert(1)> HTTP/1.1,1,Malicious
POST /login username=john&password=pass123,0,Benign
/api/users,0,Benign
GET /item?id=%3Cscript%3Ealert(1)%3C/script%3E HTTP/1.1,1,Malicious
/api/products,0,Benign
GET /item?id=../../../var/log/apache/access.log HTTP/1.1,1,Malicious
GET /item?id=%2e%2e%2f%2e%2e%2fetc%2fpasswd HTTP/1.1,1,Malicious
../../../var/log/apache/access.log,1,Malicious
GET /item?id=%00%FF%FE%FD HTTP/1.1,1,Malicious
/home,0,Benign
/api/orders,0,Benign
/static/js/app.js,0,Benign
GET /file?path=<%= 7*7 %> HTTP/1.1,1,Malicious
1'; DROP TABLE users--,1,Malicious
GET /file?path=<script>alert(1)</script> HTTP/1.1,1,Malicious
{{7*7}},1,Malicious
GET /item?id=<iframe src=javascript:alert(1)> HTTP/1.1,1,Malicious
POST /login HTTP/1.1 username=admin&password=& dir,1,Malicious
GET /file?path=${7*7} HTTP/1.1,1,Malicious
/api/users,0,Benign
/products,0,Benign
javascript:alert('xss'),1,Malicious
POST /login HTTP/1.1 username=admin&password=%3Cscript%3Ealert(1)%3C/script%3E,1,Malicious
GET /file?path=@{7*7} HTTP/1.1,1,Malicious
/index.html,0,Benign
/about,0,Benign
/contact,0,Benign
POST /login HTTP/1.1 username=admin&password=id=1 OR 1=1,1,Malicious
